Model,TBS1072C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.02,
Sample Interval,0.00016,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,0.2
Label,,
TIME,CH1,CH2
-5.056e-02,0.0599999,0.00399998
-5.040e-02,0.0599999,0.012
-5.024e-02,0.0599999,0.012
-5.008e-02,0.0599999,0.012
-4.992e-02,0.0599999,0.00399998
-4.976e-02,0.0599999,0.00399998
-4.960e-02,0.0599999,0.00399998
-4.944e-02,0.0599999,0.02
-4.928e-02,0.0599999,0.02
-4.912e-02,0.0599999,0.02
-4.896e-02,0.0599999,0.012
-4.880e-02,0.0599999,0.00399998
-4.864e-02,0.0599999,0.00399998
-4.848e-02,0.0599999,0.02
-4.832e-02,0.0599999,0.012
-4.816e-02,0.0599999,0.00399998
-4.800e-02,0.0599999,0.012
-4.784e-02,0.0599999,0.012
-4.768e-02,0.0199999,0.02
-4.752e-02,0.0599999,0.012
-4.736e-02,0.0599999,0.012
-4.720e-02,0.0599999,0.00399998
-4.704e-02,0.0599999,0.012
-4.688e-02,0.0599999,0.012
-4.672e-02,0.0599999,0.012
-4.656e-02,0.0599999,0.012
-4.640e-02,0.0599999,0.00399998
-4.624e-02,0.0599999,0.012
-4.608e-02,0.0599999,0.012
-4.592e-02,0.0599999,0.012
-4.576e-02,0.0599999,0.012
-4.560e-02,0.0599999,0.012
-4.544e-02,0.0599999,0.012
-4.528e-02,0.0599999,0.02
-4.512e-02,0.0599999,0.00399998
-4.496e-02,0.0599999,-0.00400002
-4.480e-02,0.0599999,0.012
-4.464e-02,0.0599999,0.00399998
-4.448e-02,0.0599999,0.012
-4.432e-02,0.0599999,0.012
-4.416e-02,0.0599999,0.012
-4.400e-02,0.0999999,0.00399998
-4.384e-02,0.0599999,0.02
-4.368e-02,0.0599999,0.02
-4.352e-02,0.0599999,0.00399998
-4.336e-02,0.0599999,0.00399998
-4.320e-02,0.0599999,0.012
-4.304e-02,0.0599999,0.02
-4.288e-02,0.0599999,0.012
