WSPR;WAHLBERECHTIGTE;ABGEGEBENE STIMMEN;UNGUELTIGE STIMMEN;GUELTIGE STIMMEN;GRUBER;OPPITZ_PLOERER;WILLI;HEISZ;FEDERSPIEL;STEMESEDER;DEPAOLI;MAYER;KLINGLER_NEWESELY
1;1052;401;23;378;51;82;145;23;47;4;6;5;15
10;866;290;15;275;17;59;117;12;47;3;5;5;10
11;783;275;20;255;12;62;136;9;25;0;1;3;7
12;572;312;9;303;28;72;136;14;32;2;3;3;13
13;668;281;12;269;29;66;96;21;35;2;6;7;7
20;538;205;8;197;17;51;79;13;27;0;3;3;4
21;613;185;2;183;9;39;87;11;19;2;3;3;10
30;551;218;2;216;17;34;120;9;26;0;0;5;5
31;995;255;17;238;25;51;105;16;25;1;3;4;8
32;828;281;4;277;16;79;122;7;41;2;2;2;6
40;563;174;3;171;20;26;81;9;23;2;2;3;5
41;721;192;1;191;23;31;93;10;20;2;3;3;6
50;486;156;9;147;13;36;41;8;41;0;4;3;1
51;728;334;11;323;23;68;123;18;71;1;7;8;4
52;759;275;23;252;11;53;107;18;39;3;4;7;10
60;699;303;18;285;24;72;129;9;31;1;2;4;13
70;723;365;14;351;34;76;146;21;41;2;12;7;12
71;569;267;9;258;20;53;97;18;47;1;6;8;8
72;906;495;42;453;28;103;133;38;117;2;14;8;10
73;644;344;14;330;36;80;119;15;63;0;4;3;10
74;639;273;21;252;21;63;81;26;43;2;8;4;4
75;612;295;11;284;50;75;82;5;53;2;5;4;8
80;730;317;24;293;27;72;44;33;95;1;10;5;6
81;500;169;17;152;13;35;21;18;59;0;4;1;1
100;911;308;38;270;24;68;111;22;31;0;4;4;6
101;840;295;25;270;17;63;121;9;46;1;2;2;9
102;823;302;4;298;19;78;110;27;47;0;6;1;10
103;704;244;19;225;14;51;96;21;30;2;1;4;6
104;647;242;13;229;17;46;74;13;57;2;6;4;10
110;934;356;9;347;40;98;142;7;39;2;6;2;11
111;792;307;9;298;16;67;128;24;46;3;4;6;4
112;760;327;9;318;34;60;148;16;38;4;2;4;12
113;764;285;13;272;11;61;143;10;25;1;3;7;11
114;836;331;20;311;19;66;142;21;40;5;7;7;4
115;781;337;13;324;21;69;110;23;77;1;7;8;8
120;550;269;13;256;29;74;68;10;56;1;7;5;6
130;694;200;6;194;11;42;95;18;16;0;1;2;9
131;805;329;26;303;20;64;79;32;78;3;8;14;5
132;551;177;33;144;10;25;66;15;20;0;1;4;3
133;612;299;31;268;12;58;33;69;78;0;10;6;2
140;843;461;11;450;33;183;60;26;75;2;8;48;15
150;582;258;4;254;22;77;57;15;57;0;6;13;7
151;564;302;11;291;25;83;47;24;64;2;4;37;5
200;689;340;21;319;29;93;89;17;67;2;10;7;5
201;528;291;25;266;22;44;95;25;59;0;10;7;4
202;473;240;12;228;25;49;60;19;54;1;10;6;4
203;540;232;28;204;24;41;27;22;72;0;10;3;5
210;735;379;23;356;29;86;104;21;91;0;7;12;6
211;684;276;8;268;29;54;85;17;64;2;4;3;10
212;674;264;10;254;18;49;68;21;76;1;10;5;6
213;453;212;16;196;9;33;22;22;95;1;4;10;0
214;706;326;7;319;24;53;130;26;63;2;8;7;6
215;783;289;13;276;35;54;90;22;63;0;6;4;2
220;449;187;7;180;14;32;29;22;68;3;7;5;0
221;515;241;21;220;23;42;33;19;82;0;9;11;1
222;694;330;10;320;27;82;77;29;82;2;7;5;9
223;855;367;43;324;32;65;52;23;114;2;14;12;10
230;694;308;32;276;13;48;66;31;85;4;18;6;5
231;749;287;14;273;18;75;46;26;78;5;7;7;11
232;824;278;31;247;26;46;57;15;88;2;6;5;2
240;658;213;6;207;26;34;49;21;69;0;2;2;4
241;577;250;9;241;18;46;60;23;74;0;13;7;0
242;805;290;14;276;15;66;47;23;99;4;6;5;11
243;612;223;17;206;21;53;44;23;53;3;3;4;2
244;763;283;28;255;14;60;59;26;81;3;3;6;3
245;620;227;20;207;19;51;42;20;65;0;6;1;3
246;652;203;9;194;20;47;34;16;65;0;6;3;3
250;609;300;7;293;36;65;53;15;106;1;12;2;3
251;621;252;14;238;18;67;34;28;72;1;5;5;8
252;698;274;19;255;25;71;38;16;86;1;9;5;4
253;555;256;37;219;28;49;30;22;81;0;4;2;3
254;800;350;35;315;31;62;51;26;109;0;15;9;12
255;725;335;28;307;32;74;39;25;110;0;10;9;8
256;760;356;20;336;34;92;23;38;122;2;3;15;7
257;823;330;27;303;36;78;59;34;71;4;11;5;5
260;562;278;29;249;24;59;28;20;103;1;8;1;5
261;518;259;30;229;26;58;24;18;79;1;8;11;4
262;602;287;14;273;37;64;56;34;66;2;7;3;4
263;668;306;68;238;30;65;37;28;65;0;5;5;3
264;601;286;53;233;21;70;28;27;73;1;6;3;4
265;745;266;13;253;17;64;48;29;73;1;17;3;1
300;704;343;24;319;33;64;138;15;41;1;7;7;13
301;579;324;28;296;22;56;102;12;60;1;35;0;8
302;851;440;30;410;45;90;156;17;81;8;4;9;0
303;847;390;6;384;36;86;168;16;50;0;8;3;17
304;740;400;26;374;38;89;164;11;54;1;4;3;10
305;880;412;11;401;27;107;171;15;50;3;8;7;13
306;457;240;16;224;9;63;86;10;30;1;11;3;11
307;661;266;7;259;23;56;103;20;28;1;13;7;8
310;876;486;12;474;43;115;194;10;71;4;9;7;21
320;602;166;10;156;12;46;51;13;16;2;6;3;7
321;812;300;8;292;24;62;125;16;45;0;10;4;6
322;588;254;10;244;30;55;89;20;43;0;2;2;3
323;850;308;11;297;23;58;108;36;40;1;8;9;14
324;965;338;32;306;22;78;112;24;47;0;4;6;13
325;809;359;44;315;24;71;117;26;57;2;7;3;8
330;871;294;6;288;21;98;86;15;44;1;9;6;8
331;913;465;14;451;48;102;153;23;89;3;7;6;20
332;881;387;8;379;29;110;130;16;67;0;9;7;11
333;888;417;20;397;26;111;142;30;63;1;5;11;8
334;830;372;10;362;32;91;121;17;58;0;11;13;19
335;872;317;19;298;12;82;110;19;52;1;4;6;12
336;903;344;10;334;34;71;115;31;63;1;6;9;4
337;916;352;8;344;23;96;119;22;76;1;1;2;4
340;700;316;15;301;22;81;83;26;60;1;7;9;12
341;632;332;19;313;19;99;102;26;45;1;7;7;7
342;731;300;25;275;23;72;84;16;58;2;7;5;8
343;660;281;12;269;17;65;95;16;55;2;6;9;4
344;556;254;8;246;14;75;73;25;41;2;3;4;9
345;667;315;13;302;25;67;78;43;67;1;11;1;9
350;725;362;23;339;34;79;134;23;48;0;4;4;13
351;728;375;14;361;26;90;136;15;70;2;7;11;4
352;681;373;14;359;41;74;144;4;63;0;13;9;11
353;528;306;2;304;36;58;129;6;56;0;6;7;6
354;638;337;24;313;30;67;132;10;57;2;3;4;8
355;500;248;7;241;19;59;80;21;51;1;4;1;5
356;673;337;28;309;18;57;57;40;112;0;15;5;5
360;603;342;25;317;21;86;98;21;59;0;7;11;14
361;912;477;34;443;55;106;135;17;91;2;17;6;14
400;778;415;18;397;37;106;136;14;62;1;12;9;20
401;803;277;8;269;32;52;105;20;38;0;6;7;9
402;889;407;23;384;33;109;143;7;58;0;11;8;15
430;707;354;51;303;23;86;34;33;100;1;12;9;5
431;840;400;54;346;29;98;57;29;107;1;8;9;8
500;584;222;12;210;35;70;45;4;43;1;4;5;3
501;633;282;16;266;34;48;48;19;88;1;10;8;10
510;830;378;11;367;42;103;74;16;101;0;13;5;13
511;988;441;14;427;31;105;64;62;133;3;8;12;9
512;601;302;8;294;34;54;79;23;80;1;12;4;7
513;552;239;14;225;30;47;59;18;48;2;9;9;3
600;759;402;12;390;94;113;85;14;65;2;4;6;7
601;663;291;17;274;47;66;74;10;57;0;5;8;7
610;577;299;7;292;30;78;96;16;55;1;7;3;6
611;895;374;11;363;37;80;102;24;86;0;13;8;13
612;633;334;21;313;50;90;63;12;83;0;3;3;9
620;649;259;24;235;20;65;44;29;50;0;9;9;9
621;699;273;7;266;19;85;37;24;75;0;11;7;8
630;589;219;10;209;15;55;18;22;81;2;8;4;4
631;634;250;35;215;24;60;18;29;65;0;10;4;5
632;591;289;30;259;26;84;24;28;84;0;8;5;0
633;519;288;13;275;23;82;7;23;126;2;6;4;2
634;421;217;14;203;22;45;33;20;69;0;5;6;3
635;756;362;12;350;20;96;17;29;166;1;12;6;3
700;443;301;27;274;49;52;94;8;53;3;4;3;8
800;661;373;17;356;30;65;127;13;92;3;5;5;16
801;612;332;16;316;33;83;103;11;67;0;1;9;9
802;691;342;21;321;32;57;95;19;96;1;2;4;15
901;222;64;3;61;13;30;4;2;10;1;0;1;0
902;178;83;4;79;11;39;7;7;14;0;0;0;1
903;378;94;21;73;15;40;4;3;8;1;2;0;0
904;327;130;16;114;18;47;6;9;26;3;0;1;4
905;157;73;6;67;12;28;4;5;16;0;1;0;1
Briefwähler;.;7258;177;7081;614;1742;2732;453;1046;20;116;158;200
