Nationalratswahl 2019, 29.09.2019 (Bericht wurde generiert am 08.10.2019 um 16:42)
Bezirk_Id;Bezirk;Gemeinde_Id;Gemeinde;Wahlberechtigte männlich;Wahlberechtigte weiblich;Auslandsösterreicher Wahlberechtigte männlich;Auslandsösterreicher Wahlberechtigte weiblich;Wahlberechtigte gesamt;Abgegebene Stimmen;Wahlbeteiligung;Gültige Stimmen;Ungültige Stimmen;Nr./Wählergruppe1;Name/Wählergruppe1;Stimmen/Wählergruppe1;Prozente/Wählergruppe1;Nr./Wählergruppe2;Name/Wählergruppe2;Stimmen/Wählergruppe2;Prozente/Wählergruppe2;Nr./Wählergruppe3;Name/Wählergruppe3;Stimmen/Wählergruppe3;Prozente/Wählergruppe3;Nr./Wählergruppe4;Name/Wählergruppe4;Stimmen/Wählergruppe4;Prozente/Wählergruppe4;Nr./Wählergruppe5;Name/Wählergruppe5;Stimmen/Wählergruppe5;Prozente/Wählergruppe5;Nr./Wählergruppe6;Name/Wählergruppe6;Stimmen/Wählergruppe6;Prozente/Wählergruppe6;Nr./Wählergruppe7;Name/Wählergruppe7;Stimmen/Wählergruppe7;Prozente/Wählergruppe7;Nr./Wählergruppe8;Name/Wählergruppe8;Stimmen/Wählergruppe8;Prozente/Wählergruppe8;Nr./Wählergruppe9;Name/Wählergruppe9;Stimmen/Wählergruppe9;Prozente/Wählergruppe9;
701;Innsbruck-Stadt;70101;Innsbruck;40546;46079;951;1022;86625;46195;53,33;45825;370;1;ÖVP;13638;29,76;2;SPÖ;8372;18,27;3;FPÖ;6976;15,22;4;NEOS;4633;10,11;5;JETZT;1373;3,00;6;GRÜNE;9954;21,72;7;GILT;108;0,24;8;KPÖ;545;1,19;9;WANDL;226;0,49;
702;Imst;70201;Arzl im Pitztal;1159;1205;7;7;2364;1459;61,72;1440;19;1;ÖVP;753;52,29;2;SPÖ;171;11,87;3;FPÖ;226;15,69;4;NEOS;120;8,33;5;JETZT;34;2,36;6;GRÜNE;127;8,82;7;GILT;2;0,14;8;KPÖ;2;0,14;9;WANDL;5;0,35;
702;Imst;70202;Haiming;1736;1805;8;10;3541;2046;57,78;2039;7;1;ÖVP;878;43,06;2;SPÖ;324;15,89;3;FPÖ;357;17,51;4;NEOS;177;8,68;5;JETZT;35;1,72;6;GRÜNE;258;12,65;7;GILT;3;0,15;8;KPÖ;4;0,20;9;WANDL;3;0,15;
702;Imst;70203;Imst;3596;3887;32;36;7483;4117;55,02;4087;30;1;ÖVP;1730;42,33;2;SPÖ;647;15,83;3;FPÖ;690;16,88;4;NEOS;363;8,88;5;JETZT;68;1,66;6;GRÜNE;547;13,38;7;GILT;6;0,15;8;KPÖ;20;0,49;9;WANDL;16;0,39;
702;Imst;70204;Imsterberg;308;319;1;1;627;395;63,00;388;7;1;ÖVP;205;52,84;2;SPÖ;53;13,66;3;FPÖ;77;19,85;4;NEOS;23;5,93;5;JETZT;3;0,77;6;GRÜNE;25;6,44;7;GILT;0;0,00;8;KPÖ;1;0,26;9;WANDL;1;0,26;
702;Imst;70205;Jerzens;356;348;2;7;704;454;64,49;450;4;1;ÖVP;304;67,56;2;SPÖ;25;5,56;3;FPÖ;82;18,22;4;NEOS;15;3,33;5;JETZT;3;0,67;6;GRÜNE;18;4,00;7;GILT;1;0,22;8;KPÖ;2;0,44;9;WANDL;0;0,00;
702;Imst;70206;Karres;244;263;0;0;507;335;66,07;330;5;1;ÖVP;166;50,30;2;SPÖ;38;11,52;3;FPÖ;88;26,67;4;NEOS;18;5,45;5;JETZT;3;0,91;6;GRÜNE;15;4,55;7;GILT;2;0,61;8;KPÖ;0;0,00;9;WANDL;0;0,00;
702;Imst;70207;Karrösten;295;269;2;2;564;347;61,52;343;4;1;ÖVP;162;47,23;2;SPÖ;62;18,08;3;FPÖ;53;15,45;4;NEOS;28;8,16;5;JETZT;15;4,37;6;GRÜNE;23;6,71;7;GILT;0;0,00;8;KPÖ;0;0,00;9;WANDL;0;0,00;
702;Imst;70208;Längenfeld;1691;1753;9;8;3444;2119;61,53;2099;20;1;ÖVP;1397;66,56;2;SPÖ;109;5,19;3;FPÖ;258;12,29;4;NEOS;150;7,15;5;JETZT;25;1,19;6;GRÜNE;148;7,05;7;GILT;3;0,14;8;KPÖ;2;0,10;9;WANDL;7;0,33;
702;Imst;70209;Mieming;1361;1458;7;11;2819;1699;60,27;1679;20;1;ÖVP;813;48,42;2;SPÖ;147;8,76;3;FPÖ;244;14,53;4;NEOS;201;11,97;5;JETZT;29;1,73;6;GRÜNE;219;13,04;7;GILT;6;0,36;8;KPÖ;7;0,42;9;WANDL;13;0,77;
